"","kill_num","species","dod","utm_e","utm_n","age","year","month","day","jday","season","long","lat"
"215","17-378","mule deer",2017-07-18,527122,4983044,"young",2017,7,18,199,"summer",-110.655877045474,45.0003241266275
"216","17-379","elk",2017-07-19,531812,4981490,"old adult",2017,7,19,200,"summer",-110.596470044676,44.9861406592663
"217","17-380","mule deer",2017-06-21,541463,4977224,"yearling",2017,6,21,172,"summer",-110.474404065631,44.9472416719155
"218","17-381","mule deer",2017-11-15,527663,4977772,"yearling",2017,11,15,319,"fall",-110.649302373737,44.9528457736018
"219","17-382","coyote",2017-11-19,526477,4986242,"adult",2017,11,19,323,"fall",-110.663892286667,45.02913608454
"220","17-383","mule deer",2017-11-28,526020,4986166,"adult",2017,11,28,332,"fall",-110.669697431734,45.0284688785481
"221","17-384","elk",2017-12-01,528146,4983969,"young",2017,12,1,335,"fall",-110.642833081986,45.0086108535141
"222","17-385","elk",2017-12-02,529466,4970148,"old adult",2017,12,2,336,"fall",-110.626889735948,44.8841430802804
"223","17-386","elk",2017-12-06,534371,4981304,"yearling",2017,12,6,340,"fall",-110.564023150152,44.9843470394754
"224","17-387","elk",2017-12-14,529147,4984147,"unk",2017,12,14,348,"fall",-110.630120546968,45.0101727289933
"225","18-017","elk",2018-02-12,526183,4987413,"old adult",2018,2,12,43,"winter",-110.667563332374,45.0396880221885
"226","18-018","elk",2018-02-16,526427,4987167,"young",2018,2,16,47,"winter",-110.664478341994,45.0374645415412
"227","18-019","elk",2018-02-14,537631,4982971,"young",2018,2,14,45,"winter",-110.522548678941,44.9991874121384
"228","18-028","elk",2018-02-19,533433,4982078,"adult",2018,2,19,50,"winter",-110.575869444893,44.9913591545192
"229","18-049","elk",2018-02-25,541982,4978492,"adult",2018,2,25,56,"winter",-110.467719867493,44.9586252500836
"230","18-060","elk",2018-02-25,546430,4969479,"adult",2018,2,25,56,"winter",-110.412155356569,44.8772172328409
"231","18-062","elk",2018-03-04,526517,4987565,"old adult",2018,3,4,63,"winter",-110.663314695972,45.0410438592215
"232","18-093","elk",2018-03-10,541631,4979548,"yearling",2018,3,10,69,"winter",-110.472082752342,44.968151596411
"233","18-095","elk",2018-03-14,545270,4972924,"adult",2018,3,14,73,"winter",-110.42653312487,44.9083025510455
"234","18-106","elk",2018-03-13,530386,4983953,"adult",2018,3,13,72,"winter",-110.614409532384,45.0083743936683
"235","18-107","elk",2018-03-19,530616,4984224,"young",2018,3,19,78,"winter",-110.611474466902,45.0108039643558
"236","18-110","elk",2018-03-23,542398,4975142,"adult",2018,3,23,82,"spring",-110.462727078482,44.9284451199326
"237","18-111","elk",2018-03-19,542618,4975375,"unk",2018,3,19,78,"winter",-110.459919678163,44.9305293525006
